"","UNITID","EFFYLEV","LSTUDY","XEYTOTLT","EFYTOTLT","XEYTOTLM","EFYTOTLM","XEYTOTLW","EFYTOTLW","XEFYAIAT","EFYAIANT","XEFYAIAM","EFYAIANM","XEFYAIAW","EFYAIANW","XEFYASIT","EFYASIAT","XEFYASIM","EFYASIAM","XEFYASIW","EFYASIAW","XEFYBKAT","EFYBKAAT","XEFYBKAM","EFYBKAAM","XEFYBKAW","EFYBKAAW","XEFYHIST","EFYHISPT","XEFYHISM","EFYHISPM","XEFYHISW","EFYHISPW","XEFYNHPT","EFYNHPIT","XEFYNHPM","EFYNHPIM","XEFYNHPW","EFYNHPIW","XEFYWHIT","EFYWHITT","XEFYWHIM","EFYWHITM","XEFYWHIW","EFYWHITW","XEFY2MOT","EFY2MORT","XEFY2MOM","EFY2MORM","XEFY2MOW","EFY2MORW","XEYUNKNT","EFYUNKNT","XEYUNKNM","EFYUNKNM","XEYUNKNW","EFYUNKNW","XEYNRALT","EFYNRALT","XEYNRALM","EFYNRALM","XEYNRALW","EFYNRALW"
"4397",170240,2,1,"R",26428,"R",11185,"R",15243,"R",113,"R",48,"R",65,"R",290,"R",155,"R",135,"R",8422,"R",2992,"R",5430,"R",770,"R",342,"R",428,"R",27,"R",11,"R",16,"R",10005,"R",4738,"R",5267,"R",134,"R",65,"R",69,"R",6352,"R",2642,"R",3710,"R",315,"R",192,"R",123
"4398",170301,1,999,"R",3512,"R",1340,"R",2172,"R",9,"R",3,"R",6,"R",82,"R",29,"R",53,"R",84,"R",41,"R",43,"R",146,"R",45,"R",101,"R",1,"R",1,"Z",0,"R",2960,"R",1133,"R",1827,"R",61,"R",24,"R",37,"R",99,"R",35,"R",64,"R",70,"R",29,"R",41
"4399",170301,2,1,"R",3512,"R",1340,"R",2172,"R",9,"R",3,"R",6,"R",82,"R",29,"R",53,"R",84,"R",41,"R",43,"R",146,"R",45,"R",101,"R",1,"R",1,"Z",0,"R",2960,"R",1133,"R",1827,"R",61,"R",24,"R",37,"R",99,"R",35,"R",64,"R",70,"R",29,"R",41
"4400",170417,1,999,"R",1062,"R",823,"R",239,"R",2,"R",2,"R",0,"R",8,"R",7,"R",1,"R",80,"R",57,"R",23,"R",55,"R",44,"R",11,"Z",0,"Z",0,"Z",0,"R",479,"R",381,"R",98,"Z",0,"Z",0,"Z",0,"R",438,"R",332,"R",106,"Z",0,"Z",0,"Z",0
"4401",170417,2,1,"R",1062,"R",823,"R",239,"R",2,"R",2,"R",0,"R",8,"R",7,"R",1,"R",80,"R",57,"R",23,"R",55,"R",44,"R",11,"Z",0,"Z",0,"Z",0,"R",479,"R",381,"R",98,"Z",0,"Z",0,"Z",0,"R",438,"R",332,"R",106,"Z",0,"Z",0,"Z",0
"4402",170444,1,999,"R",9515,"R",3635,"R",5880,"R",73,"R",26,"R",47,"R",58,"R",19,"R",39,"R",825,"R",361,"R",464,"R",406,"R",181,"R",225,"R",5,"R",2,"R",3,"R",7409,"R",2704,"R",4705,"R",118,"R",42,"R",76,"R",609,"R",291,"R",318,"R",12,"R",9,"R",3
"4403",170444,2,1,"R",9515,"R",3635,"R",5880,"R",73,"R",26,"R",47,"R",58,"R",19,"R",39,"R",825,"R",361,"R",464,"R",406,"R",181,"R",225,"R",5,"R",2,"R",3,"R",7409,"R",2704,"R",4705,"R",118,"R",42,"R",76,"R",609,"R",291,"R",318,"R",12,"R",9,"R",3
"4404",170514,1,999,"R",132,"R",3,"R",129,"R",0,"R",0,"R",0,"R",3,"R",1,"R",2,"R",7,"R",0,"R",7,"R",7,"R",1,"R",6,"R",0,"R",0,"R",0,"R",115,"R",1,"R",114,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
"4405",170514,2,1,"R",132,"R",3,"R",129,"R",0,"R",0,"R",0,"R",3,"R",1,"R",2,"R",7,"R",0,"R",7,"R",7,"R",1,"R",6,"R",0,"R",0,"R",0,"R",115,"R",1,"R",114,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
"4406",170532,1,999,"R",1421,"R",609,"R",812,"R",9,"R",3,"R",6,"R",54,"R",21,"R",33,"R",50,"R",21,"R",29,"R",95,"R",37,"R",58,"R",1,"R",0,"R",1,"R",967,"R",419,"R",548,"R",38,"R",16,"R",22,"R",93,"R",43,"R",50,"R",114,"R",49,"R",65
"4407",170532,2,1,"R",1421,"R",609,"R",812,"R",9,"R",3,"R",6,"R",54,"R",21,"R",33,"R",50,"R",21,"R",29,"R",95,"R",37,"R",58,"R",1,"R",0,"R",1,"R",967,"R",419,"R",548,"R",38,"R",16,"R",22,"R",93,"R",43,"R",50,"R",114,"R",49,"R",65
"4408",170541,1,999,"R",16850,"R",8186,"R",8664,"R",129,"R",68,"R",61,"R",239,"R",120,"R",119,"R",2646,"R",1284,"R",1362,"R",627,"R",300,"R",327,"R",2,"R",2,"R",0,"R",12233,"R",5912,"R",6321,"R",142,"R",47,"R",95,"R",684,"R",357,"R",327,"R",148,"R",96,"R",52
"4409",170541,2,1,"R",16850,"R",8186,"R",8664,"R",129,"R",68,"R",61,"R",239,"R",120,"R",119,"R",2646,"R",1284,"R",1362,"R",627,"R",300,"R",327,"R",2,"R",2,"R",0,"R",12233,"R",5912,"R",6321,"R",142,"R",47,"R",95,"R",684,"R",357,"R",327,"R",148,"R",96,"R",52
"4410",170550,1,999,"R",9675,"R",3999,"R",5676,"R",62,"R",25,"R",37,"R",145,"R",52,"R",93,"R",901,"R",342,"R",559,"R",303,"R",123,"R",180,"R",3,"R",2,"R",1,"R",6989,"R",2626,"R",4363,"R",208,"R",84,"R",124,"R",1035,"R",734,"R",301,"R",29,"R",11,"R",18
"4411",170550,2,1,"R",9675,"R",3999,"R",5676,"R",62,"R",25,"R",37,"R",145,"R",52,"R",93,"R",901,"R",342,"R",559,"R",303,"R",123,"R",180,"R",3,"R",2,"R",1,"R",6989,"R",2626,"R",4363,"R",208,"R",84,"R",124,"R",1035,"R",734,"R",301,"R",29,"R",11,"R",18
"4412",170587,1,999,"R",2493,"R",936,"R",1557,"R",35,"R",14,"R",21,"R",10,"R",4,"R",6,"R",18,"R",13,"R",5,"R",38,"R",9,"R",29,"R",13,"R",8,"R",5,"R",2163,"R",803,"R",1360,"R",14,"R",3,"R",11,"R",196,"R",76,"R",120,"R",6,"R",6,"R",0
"4413",170587,2,1,"R",2493,"R",936,"R",1557,"R",35,"R",14,"R",21,"R",10,"R",4,"R",6,"R",18,"R",13,"R",5,"R",38,"R",9,"R",29,"R",13,"R",8,"R",5,"R",2163,"R",803,"R",1360,"R",14,"R",3,"R",11,"R",196,"R",76,"R",120,"R",6,"R",6,"R",0
"4414",170611,1,999,"R",289,"R",6,"R",283,"R",0,"R",0,"R",0,"R",3,"R",0,"R",3,"R",34,"R",2,"R",32,"R",13,"R",1,"R",12,"R",0,"R",0,"R",0,"R",231,"R",3,"R",228,"R",0,"R",0,"R",0,"R",8,"R",0,"R",8,"R",0,"R",0,"R",0
"4415",170611,2,1,"R",289,"R",6,"R",283,"R",0,"R",0,"R",0,"R",3,"R",0,"R",3,"R",34,"R",2,"R",32,"R",13,"R",1,"R",12,"R",0,"R",0,"R",0,"R",231,"R",3,"R",228,"R",0,"R",0,"R",0,"R",8,"R",0,"R",8,"R",0,"R",0,"R",0
"4416",170620,1,999,"R",6550,"R",2548,"R",4002,"R",51,"R",17,"R",34,"R",91,"R",50,"R",41,"R",1153,"R",410,"R",743,"R",363,"R",147,"R",216,"R",8,"R",2,"R",6,"R",4231,"R",1650,"R",2581,"R",80,"R",24,"R",56,"R",573,"R",248,"R",325,"R",0,"R",0,"R",0
"4417",170620,2,1,"R",6550,"R",2548,"R",4002,"R",51,"R",17,"R",34,"R",91,"R",50,"R",41,"R",1153,"R",410,"R",743,"R",363,"R",147,"R",216,"R",8,"R",2,"R",6,"R",4231,"R",1650,"R",2581,"R",80,"R",24,"R",56,"R",573,"R",248,"R",325,"R",0,"R",0,"R",0
"4418",170639,1,999,"R",3143,"R",1498,"R",1645,"R",258,"R",90,"R",168,"R",18,"R",7,"R",11,"R",47,"R",24,"R",23,"R",59,"R",25,"R",34,"Z",0,"Z",0,"Z",0,"R",2459,"R",1210,"R",1249,"Z",0,"Z",0,"Z",0,"R",58,"R",27,"R",31,"R",244,"R",115,"R",129
