"","UNITID","ARANK","XSATOTLT","SATOTLT","XSATOTLM","SATOTLM","XSATOTLW","SATOTLW","XSA09MCT","SA09MCT","XSA09MCM","SA09MCM","XSA09MCW","SA09MCW","XSA10MCT","SA10MCT","XSA10MCM","SA10MCM","XSA10MCW","SA10MCW","XSA11MCT","SA11MCT","XSA11MCM","SA11MCM","XSA11MCW","SA11MCW","XSA12MCT","SA12MCT","XSA12MCM","SA12MCM","XSA12MCW","SA12MCW","XSAMNTHT","SAMNTHT","XSAMNTHM","SAMNTHM","XSAMNTHW","SAMNTHW","XSAOUTLT","SAOUTLT","XSAOUTLM","SAOUTLM","XSAOUTLW","SAOUTLW","XSAAVMNT","SAAVMNT","XSAAVMNM","SAAVMNM","XSAAVMNW","SAAVMNW"
"14384",377661,4,"R",6,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",3,"R",3,"R",72,"R",36,"R",36,"R",290940,"R",153000,"R",137940,"R",4041,"R",4250,"R",3832
"14385",377661,7,"R",6,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",3,"R",3,"R",72,"R",36,"R",36,"R",290940,"R",153000,"R",137940,"R",4041,"R",4250,"R",3832
"14386",377670,4,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"R",36,"R",36,"Z",0,"R",180000,"R",180000,"Z",0,"R",5000,"R",5000,"A",NA
"14387",377670,7,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"R",36,"R",36,"Z",0,"R",180000,"R",180000,"Z",0,"R",5000,"R",5000,"A",NA
"14388",378406,4,"R",3,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"R",36,"R",24,"R",12,"R",216351,"R",148384,"R",67967,"R",6010,"R",6183,"R",5664
"14389",378406,7,"R",3,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"R",36,"R",24,"R",12,"R",216351,"R",148384,"R",67967,"R",6010,"R",6183,"R",5664
"14390",378576,4,"R",14,"R",9,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",9,"R",5,"R",168,"R",108,"R",60,"R",820902,"R",554242,"R",266660,"R",4886,"R",5132,"R",4444
"14391",378576,7,"R",14,"R",9,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",9,"R",5,"R",168,"R",108,"R",60,"R",820902,"R",554242,"R",266660,"R",4886,"R",5132,"R",4444
"14392",379782,4,"R",3,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"R",36,"R",24,"R",12,"R",182270,"R",94570,"R",87700,"R",5063,"R",3940,"R",7308
"14393",379782,7,"R",3,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"R",36,"R",24,"R",12,"R",182270,"R",94570,"R",87700,"R",5063,"R",3940,"R",7308
"14394",380094,4,"R",4,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",3,"R",1,"R",48,"R",36,"R",12,"R",194611,"R",132080,"R",62531,"R",4054,"R",3669,"R",5211
